data;valor
01/03/2011;3.17
01/04/2011;3.24
01/05/2011;3.37
01/06/2011;3.32
01/07/2011;3.42
01/08/2011;3.45
01/09/2011;3.46
01/10/2011;3.58
01/11/2011;3.58
01/12/2011;3.54
01/01/2012;3.66
01/02/2012;3.71
01/03/2012;3.67
01/04/2012;3.76
01/05/2012;3.76
01/06/2012;3.71
01/07/2012;3.72
01/08/2012;3.75
01/09/2012;3.72
01/10/2012;3.76
01/11/2012;3.67
01/12/2012;3.55
01/01/2013;3.54
01/02/2013;3.51
01/03/2013;3.45
01/04/2013;3.47
01/05/2013;3.47
01/06/2013;3.25
01/07/2013;3.21
01/08/2013;3.13
01/09/2013;3.14
01/10/2013;3.06
01/11/2013;2.97
01/12/2013;2.86
01/01/2014;2.84
01/02/2014;2.86
01/03/2014;2.88
01/04/2014;2.92
01/05/2014;3.00
01/06/2014;2.90
01/07/2014;2.96
01/08/2014;2.98
01/09/2014;2.91
01/10/2014;2.96
01/11/2014;2.85
01/12/2014;2.73
01/01/2015;2.82
01/02/2015;2.85
01/03/2015;2.82
01/04/2015;2.96
01/05/2015;3.02
01/06/2015;2.92
01/07/2015;3.03
01/08/2015;3.12
01/09/2015;3.12
01/10/2015;3.24
01/11/2015;3.38
01/12/2015;3.37
01/01/2016;3.47
01/02/2016;3.50
01/03/2016;3.53
01/04/2016;3.65
01/05/2016;3.73
01/06/2016;3.51
01/07/2016;3.56
01/08/2016;3.64
01/09/2016;3.68
01/10/2016;3.84
01/11/2016;3.80
01/12/2016;3.70
01/01/2017;3.73
01/02/2017;3.75
01/03/2017;3.85
01/04/2017;3.93
01/05/2017;4.04
01/06/2017;3.73
01/07/2017;3.69
01/08/2017;3.70
01/09/2017;3.60
01/10/2017;3.63
01/11/2017;3.54
01/12/2017;3.24
01/01/2018;3.42
01/02/2018;3.43
01/03/2018;3.29
01/04/2018;3.32
01/05/2018;3.30
01/06/2018;3.04
01/07/2018;3.02
01/08/2018;3.04
01/09/2018;3.04
01/10/2018;3.05
01/11/2018;2.96
01/12/2018;2.87
01/01/2019;2.95
01/02/2019;2.91
01/03/2019;2.99
01/04/2019;3.02
01/05/2019;3.05
01/06/2019;2.95
01/07/2019;3.06
01/08/2019;3.04
01/09/2019;3.06
01/10/2019;3.03
01/11/2019;3.00
01/12/2019;2.94
01/01/2020;3.00
01/02/2020;3.04
01/03/2020;3.18
01/04/2020;3.29
01/05/2020;3.24
01/06/2020;2.89
01/07/2020;2.76
01/08/2020;2.65
01/09/2020;2.43
01/10/2020;2.35
01/11/2020;2.23
01/12/2020;2.11
01/01/2021;2.14
01/02/2021;2.23
01/03/2021;2.13
01/04/2021;2.19
01/05/2021;2.33
01/06/2021;2.27
01/07/2021;2.31
01/08/2021;2.31
01/09/2021;2.28
01/10/2021;2.28
01/11/2021;2.31
01/12/2021;2.30
01/01/2022;2.45
01/02/2022;2.51
01/03/2022;2.59
01/04/2022;2.66
01/05/2022;2.72
01/06/2022;2.66
01/07/2022;2.77
01/08/2022;2.83
01/09/2022;2.85
01/10/2022;2.96
01/11/2022;2.99
01/12/2022;2.99
01/01/2023;3.15
01/02/2023;3.27
01/03/2023;3.26
01/04/2023;3.45
01/05/2023;3.55
01/06/2023;3.51
01/07/2023;3.54
01/08/2023;3.51
01/09/2023;3.44
01/10/2023;3.46
01/11/2023;3.43
01/12/2023;3.18
01/01/2024;3.26
01/02/2024;3.26
01/03/2024;3.20
01/04/2024;3.24
01/05/2024;3.26
01/06/2024;3.18
01/07/2024;3.17
01/08/2024;3.21
01/09/2024;3.21
01/10/2024;3.17
01/11/2024;3.14
01/12/2024;2.93
01/01/2025;3.17
